"country","organization","type"
"EAT","UNHCR","member"
"EAT","UNIDO","member"
"EAT","UNIFIL","member"
"EAT","UNISFA","member"
"EAT","UNMISS","member"
"EAT","UNOCI","member"
"EAT","UNWTO","member"
"EAT","UPU","member"
"EAT","WCO","member"
"EAT","WFTU","member"
"EAT","WHO","member"
"EAT","WIPO","member"
"EAT","WMO","member"
"EAT","WTO","member"
"EAU","ACP","member"
"EAU","AfDB","regional member"
"EAU","AU","member"
"EAU","C","member"
"EAU","COMESA","member"
"EAU","EAC","member"
"EAU","EADB","member"
"EAU","FAO","member"
"EAU","G-77","member"
"EAU","IAEA","member"
"EAU","IBRD","member"
"EAU","ICAO","member"
"EAU","ICC","having direct member"
"EAU","ICCt","state accepting jurisdiction"
"EAU","ICJ","accepting compulsory jurisdiction with reservations"
"EAU","IDA","member"
"EAU","IDB","member"
"EAU","IFAD","List C"
"EAU","IFC","member"
"EAU","IFRCS","member"
"EAU","IGAD","member"
"EAU","ILO","member"
"EAU","IMF","member"
"EAU","IMO","member"
"EAU","Interpol","member"
"EAU","IOC","National Olympic Committee"
"EAU","IOM","member"
"EAU","IPU","member"
"EAU","ISO","member"
"EAU","ITSO","member"
"EAU","ITU","member"
"EAU","ITUC","member"
"EAU","MIGA","member"
"EAU","NAM","member"
"EAU","OIC","member"
"EAU","OPCW","member"
"EAU","PCA","member"
"EAU","UN","member"
"EAU","UNAMID","member"
"EAU","UNCTAD","member"
"EAU","UNESCO","member"
"EAU","UNHCR","member"
"EAU","UNIDO","member"
"EAU","UNMISS","member"
"EAU","UNOCI","member"
"EAU","UNWTO","member"
"EAU","UPU","member"
"EAU","WCO","member"
"EAU","WFTU","member"
"EAU","WHO","member"
"EAU","WIPO","member"
"EAU","WMO","member"
"EAU","WTO","member"
"EC","CAN","member"
"EC","CD","signatory"
"EC","CELAC","member"
"EC","FAO","member"
"EC","G-11","member"
"EC","G-77","member"
"EC","IADB","member"
"EC","IAEA","member"
"EC","IBRD","member"
"EC","ICAO","member"
"EC","ICC","national committee"
"EC","ICCt","state accepting jurisdiction"
"EC","IDA","member"
"EC","IFAD","List C"
"EC","IFC","member"
"EC","IFRCS","member"
"EC","IHO","member"
"EC","ILO","member"
"EC","IMF","member"
"EC","IMO","member"
"EC","Interpol","member"
"EC","IOC","National Olympic Committee"
"EC","IOM","member"
"EC","IPU","member"
"EC","ISO","member"
"EC","ITSO","member"
"EC","ITU","member"
"EC","ITUC","member"
"EC","LAES","member"
"EC","LAIA","member"
"EC","Mercosur","associate member"
"EC","MIGA","member"
"EC","NAM","member"
"EC","OAS","member"
"EC","OPANAL","member"
"EC","OPCW","member"
"EC","OPEC","member"
"EC","PCA","member"
"EC","UN","member"
"EC","UNAMID","member"
"EC","UNASUR","member"
"EC","UNCTAD","member"
"EC","UNESCO","member"
"EC","UNHCR","member"
"EC","UNIDO","member"
"EC","UNISFA","member"
"EC","UNMIL","member"
"EC","UNMISS","member"
"EC","UNOCI","member"
"EC","UNWTO","member"
"EC","UPU","member"
"EC","WCO","member"
"EC","WFTU","member"
"EC","WHO","member"
"EC","WIPO","member"
"EC","WMO","member"
"EC","WTO","member"
"ER","ACP","member"
"ER","AfDB","regional member"
"ER","AU","member"
"ER","COMESA","member"
"ER","FAO","member"
"ER","G-77","member"
"ER","IAEA","member"
"ER","IBRD","member"
"ER","ICAO","member"
"ER","ICC","having direct member"
"ER","IDA","member"
"ER","IFAD","List C"
"ER","IFC","member"
"ER","IFRCS","observer"
"ER","ILO","member"
"ER","IMF","member"
"ER","IMO","member"
"ER","Interpol","member"
"ER","IOC","National Olympic Committee"
"ER","ISO","correspondent member"
"ER","ITU","member"
"ER","ITUC","member"
"ER","LAS","observer"
"ER","MIGA","member"
"ER","NAM","member"
"ER","OPCW","member"
"ER","PCA","member"
"ER","UN","member"
"ER","UNCTAD","member"
"ER","UNESCO","member"
"ER","UNIDO","member"
"ER","UNWTO","member"
"ER","UPU","member"
"ER","WCO","member"
"ER","WFTU","member"
"ER","WHO","member"
"ER","WIPO","member"
"ER","WMO","member"
"ES","BCIE","member"
"ES","CACM","member"
"ES","CD","signatory"
"ES","CELAC","member"
"ES","FAO","member"
"ES","G-11","member"
"ES","G-77","member"
"ES","IADB","member"
"ES","IAEA","member"
"ES","IBRD","member"
"ES","ICAO","member"
"ES","ICC","national committee"
"ES","IDA","member"
"ES","IFAD","List C"
"ES","IFC","member"
"ES","IFRCS","member"
"ES","ILO","member"
"ES","IMF","member"
"ES","IMO","member"
"ES","Interpol","member"
"ES","IOC","National Olympic Committee"
"ES","IOM","member"
"ES","IPU","member"
"ES","ISO","member"
"ES","ITSO","member"
"ES","ITU","member"
"ES","ITUC","member"
"ES","LAES","member"
"ES","LAIA","observer"
"ES","MIGA","member"
"ES","MINURSO","member"
"ES","NAM","observer"
"ES","OAS","member"
"ES","OPANAL","member"
"ES","OPCW","member"
"ES","PCA","member"
"ES","SICA","member"
"ES","UN","member"
"ES","UNCTAD","member"
"ES","UNESCO","member"
"ES","UNIDO","member"
"ES","UNIFIL","member"
"ES","UNMIL","member"
"ES","UNMISS","member"
"ES","UNOCI","member"
"ES","UNWTO","member"
"ES","UPU","member"
"ES","WCO","member"
"ES","WFTU","member"
"ES","WHO","member"
"ES","WIPO","member"
"ES","WMO","member"
"ES","WTO","member"
"EST","AG","member"
"EST","BA","member"
"EST","BIS","member"
"EST","CBSS","member"
"EST","CD","signatory"
"EST","CE","member"
"EST","EAPC","member"
"EST","EBRD","member"
"EST","ECB","member"
"EST","EIB","member"
"EST","EMU","member"
"EST","ESA","cooperating state"
"EST","EU","member"
"EST","FAO","member"
"EST","IAEA","member"
"EST","IBRD","member"
"EST","ICAO","member"
"EST","ICC","national committee"
"EST","ICCt","state accepting jurisdiction"
"EST","ICJ","accepting compulsory jurisdiction with reservations"
"EST","IDA","member"
"EST","IFAD","List A"
"EST","IFC","member"
"EST","IFRCS","member"
"EST","IHO","member"
"EST","ILO","member"
"EST","IMF","member"
"EST","IMO","member"
"EST","Interpol","member"
"EST","IOC","National Olympic Committee"
"EST","IOM","member"
"EST","IPU","member"
"EST","ISO","member"
"EST","ITSO","member"
"EST","ITU","member"
"EST","ITUC","member"
"EST","MIGA","member"
"EST","NATO","member"
"EST","NC","observer"
"EST","NIB","member"
"EST","NSG","member"
"EST","OAS","observer"
"EST","OECD","member"
"EST","OIF","observer"
"EST","OPCW","member"
"EST","OSCE","member"
"EST","PCA","member"
"EST","UN","member"
"EST","UNCTAD","member"
"EST","UNESCO","member"
"EST","UNHCR","member"
"EST","UNTSO","member"
"EST","UPU","member"
"EST","WCO","member"
"EST","WHO","member"
"EST","WIPO","member"
"EST","WMO","member"
"EST","WTO","member"
"ET","ABEDA","member"
"ET","AfDB","regional member"
"ET","AFESD","member"
"ET","AMF","member"
"ET","AU","member"
"ET","BSEC","observer"
"ET","CAEU","member"
"ET","CD","signatory"
"ET","CICA","member"
"ET","COMESA","member"
"ET","D-8","member"
"ET","EBRD","member"
"ET","FAO","member"
"ET","G-15","member"
"ET","G-24","member"
"ET","G-77","member"
"ET","IAEA","member"
"ET","IBRD","member"
"ET","ICAO","member"
"ET","ICC","national committee"
"ET","ICJ","accepting compulsory jurisdiction with reservations"
"ET","IDA","member"
"ET","IDB","member"
"ET","IFAD","List C"
"ET","IFC","member"
"ET","IFRCS","member"
"ET","IHO","member"
"ET","ILO","member"
"ET","IMF","member"
"ET","IMO","member"
"ET","IMSO","member"
"ET","Interpol","member"
"ET","IOC","National Olympic Committee"
"ET","IOM","member"
"ET","ISO","member"
"ET","ITSO","member"
"ET","ITU","member"
"ET","LAS","member"
"ET","MIGA","member"
"ET","MINURSO","member"
"ET","MONUSCO","member"
"ET","NAM","member"
"ET","OAPEC","member"
"ET","OAS","observer"
"ET","OIC","member"
"ET","OIF","member"
"ET","PCA","member"
"ET","UN","member"
"ET","UNAMID","member"
"ET","UNCTAD","member"
"ET","UNESCO","member"
"ET","UNHCR","member"
"ET","UNIDO","member"
"ET","UNMIL","member"
"ET","UNMISS","member"
"ET","UNOCI","member"
"ET","UNRWA","member"
"ET","UNWTO","member"
"ET","UPU","member"
"ET","WCO","member"
"ET","WFTU","member"
"ET","WHO","member"
"ET","WIPO","member"
"ET","WMO","member"
"ET","WTO","member"
"ETH","ACP","member"
"ETH","AfDB","regional member"
"ETH","AU","member"
"ETH","COMESA","member"
"ETH","FAO","member"
"ETH","G-24","member"
"ETH","G-77","member"
"ETH","IAEA","member"
"ETH","IBRD","member"
"ETH","ICAO","member"
"ETH","ICC","having direct member"
"ETH","IDA","member"
"ETH","IFAD","List C"
"ETH","IFC","member"
"ETH","IFRCS","member"
"ETH","IGAD","member"
"ETH","ILO","member"
"ETH","IMF","member"
"ETH","IMO","member"
"ETH","Interpol","member"
"ETH","IOC","National Olympic Committee"
"ETH","IOM","member"
"ETH","IPU","member"
"ETH","ISO","member"
"ETH","ITSO","member"
"ETH","ITU","member"
"ETH","ITUC","member"
"ETH","MIGA","member"
"ETH","NAM","member"
"ETH","OPCW","member"
"ETH","PCA","member"
"ETH","UN","member"
"ETH","UNAMID","member"
"ETH","UNCTAD","member"
"ETH","UNESCO","member"
"ETH","UNHCR","member"
"ETH","UNIDO","member"
"ETH","UNISFA","member"
"ETH","UNMIL","member"
"ETH","UNOCI","member"
"ETH","UNWTO","member"
"ETH","UPU","member"
"ETH","WCO","member"
"ETH","WFTU","member"
"ETH","WHO","member"
"ETH","WIPO","member"
"ETH","WMO","member"
"ETH","WTO","observer"
"F","ADB","nonregional member"
"F","AfDB","nonregional member"
"F","AG","member"
"F","BDEAC","member"
"F","BIS","member"
"F","BSEC","observer"
"F","CBSS","observer"
"F","CE","member"
"F","CERN","member"
"F","EAPC","member"
"F","EBRD","member"
"F","ECB","member"
"F","EIB","member"
"F","EITI","stake holder"
"F","EMU","member"
"F","ESA","member"
"F","EU","member"
"F","FAO","member"
"F","FATF","member"
"F","FZ","member"
"F","G-10","member"
"F","G-20","member"
"F","G-5","member"
"F","G-7","member"
"F","G-8","member"
"F","IADB","member"
"F","IAEA","member"
"F","IBRD","member"
"F","ICAO","member"
"F","ICC","national committee"
"F","ICCt","state accepting jurisdiction"
"F","IDA","member"
"F","IEA","member"
"F","IFAD","List A"
"F","IFC","member"
"F","IFRCS","member"
"F","IGAD","partner"
"F","IHO","member"
"F","ILO","member"
"F","IMF","member"
"F","IMO","member"
"F","IMSO","member"
"F","InOC","member"
"F","Interpol","member"
"F","IOC","National Olympic Committee"
"F","IOM","member"
"F","IPU","member"
"F","ISO","member"
"F","ITSO","member"
"F","ITU","member"
"F","ITUC","member"
"F","MIGA","member"
"F","MINURSO","member"
"F","MONUSCO","member"
"F","NATO","member"
"F","NEA","member"
"F","NSG","member"
"F","OAS","observer"
"F","OECD","member"
"F","OIF","member"
"F","OPCW","member"
"F","OSCE","member"
"F","PCA","member"
"F","PIF","partner"
"F","SELEC","observer"
"F","SICA","observer"
"F","SPC","member"
"F","UN","member"
"F","UNCTAD","member"
"F","UNESCO","member"
"F","UNHCR","member"
"F","UNIDO","member"
"F","UNIFIL","member"
"F","UNMIL","member"
"F","UNOCI","member"
"F","UNRWA","member"
"F","UNSC","permanent member"
"F","UNTSO","member"
"F","UNWTO","member"
"F","UPU","member"
"F","WCO","member"
"F","WFTU","member"
"F","WHO","member"
"F","WIPO","member"
"F","WMO","member"
"F","WTO","member"
"F","ZC","member"
"FALK","UPU","member"
"FJI","ACP","member"
"FJI","ADB","member"
"FJI","AOSIS","member"
"FJI","C","member"
"FJI","CP","member"
"FJI","FAO","member"
"FJI","G-77","member"
"FJI","IAEA","member"
"FJI","IBRD","member"
"FJI","ICAO","member"
"FJI","ICCt","state accepting jurisdiction"
"FJI","IDA","member"
"FJI","IFAD","List C"
"FJI","IFC","member"
"FJI","IFRCS","member"
"FJI","IHO","member"
"FJI","ILO","member"
"FJI","IMF","member"
"FJI","IMO","member"
"FJI","Interpol","member"
"FJI","IOC","National Olympic Committee"
"FJI","ISO","member"
"FJI","ITSO","member"
"FJI","ITU","member"
"FJI","ITUC","member"
"FJI","MIGA","member"
"FJI","NAM","member"
"FJI","OPCW","member"
"FJI","PCA","member"
"FJI","PIF","member"
"FJI","Sparteca","member"
"FJI","SPC","member"
"FJI","UN","member"
"FJI","UNCTAD","member"
"FJI","UNDOF","member"
"FJI","UNESCO","member"
"FJI","UNIDO","member"
"FJI","UNMISS","member"
"FJI","UNMIT","member"
"FJI","UNWTO","member"
"FJI","UPU","member"
"FJI","WCO","member"
"FJI","WFTU","member"
"FJI","WHO","member"
"FJI","WIPO","member"
"FJI","WMO","member"
"FJI","WTO","member"
"FL","CD","signatory"
"FL","CE","member"
"FL","EBRD","member"
"FL","EFTA","member"
"FL","IAEA","member"
"FL","ICCt","state accepting jurisdiction"
"FL","ICJ","accepting compulsory jurisdiction with reservations"
"FL","IFRCS","member"
"FL","Interpol","member"
"FL","IOC","National Olympic Committee"
"FL","IPU","member"
"FL","ITSO","member"
"FL","ITU","member"
"FL","ITUC","member"
"FL","OPCW","member"
"FL","OSCE","member"
"FL","PCA","member"
"FL","UN","member"
"FL","UNCTAD","member"
"FL","UPU","member"
"FL","WIPO","member"
"FL","WTO","member"
"FO","FAO","associate member"
"FO","IMO","associate member"
"FO","NC","member"
"FO","UNESCO","associate member"
"FO","UPU","member"
"FSM","ACP","member"
"FSM","ADB","member"
"FSM","AOSIS","member"
"FSM","FAO","member"
"FSM","G-77","member"
"FSM","IBRD","member"
"FSM","ICAO","member"
"FSM","IDA","member"
"FSM","IFC","member"
"FSM","IFRCS","member"
"FSM","IMF","member"
"FSM","IOC","National Olympic Committee"
"FSM","IOM","member"
"FSM","IPU","member"
"FSM","ITSO","member"
"FSM","ITU","member"
"FSM","MIGA","member"
"FSM","OPCW","member"
"FSM","PIF","member"
"FSM","Sparteca","member"
"FSM","SPC","member"
"FSM","UN","member"
"FSM","UNCTAD","member"
"FSM","UNESCO","member"
"FSM","WHO","member"
"FSM","WMO","member"
"G","ACP","member"
"G","AfDB","regional member"
"G","AU","member"
"G","BDEAC","member"
"G","CEMAC","member"
"G","FAO","member"
"G","FZ","member"
"G","G-24","member"
"G","G-77","member"
"G","IAEA","member"
"G","IBRD","member"
"G","ICAO","member"
"G","ICCt","state accepting jurisdiction"
"G","IDA","member"
"G","IDB","member"
"G","IFAD","List B"
"G","IFC","member"
"G","IFRCS","member"
"G","ILO","member"
"G","IMF","member"
"G","IMO","member"
"G","IMSO","member"
"G","Interpol","member"
"G","IOC","National Olympic Committee"
"G","IOM","member"
"G","IPU","member"
"G","ISO","member"
"G","ITSO","member"
"G","ITU","member"
"G","ITUC","member"
"G","MIGA","member"
"G","NAM","member"
"G","OIC","member"
"G","OIF","member"
"G","OPCW","member"
"G","UN","member"
"G","UNCTAD","member"
"G","UNESCO","member"
"G","UNIDO","member"
"G","UNWTO","member"
"G","UPU","member"
"G","WCO","member"
"G","WHO","member"
"G","WIPO","member"
"G","WMO","member"
"G","WTO","member"
"GB","ADB","nonregional member"
"GB","AfDB","nonregional member"
"GB","AG","member"
"GB","BIS","member"
"GB","C","member"
"GB","CBSS","observer"
"GB","CD","signatory"
"GB","CDB","nonregional member"
"GB","CE","member"
"GB","CERN","member"
"GB","EAPC","member"
"GB","EBRD","member"
"GB","EIB","member"
"GB","EITI","stake holder"
"GB","ESA","member"
"GB","FAO","member"
"GB","FATF","member"
"GB","G-10","member"
"GB","G-20","member"
"GB","G-5","member"
"GB","G-7","member"
"GB","G-8","member"
"GB","IADB","member"
"GB","IAEA","member"
"GB","IBRD","member"
"GB","ICAO","member"
"GB","ICC","national committee"
"GB","ICCt","state accepting jurisdiction"
"GB","ICJ","accepting compulsory jurisdiction with reservations"
"GB","IDA","member"
"GB","IEA","member"
"GB","IFAD","List A"
"GB","IFC","member"
"GB","IFRCS","member"
"GB","IGAD","partner"
"GB","IHO","member"
"GB","ILO","member"
"GB","IMF","member"
"GB","IMO","member"
"GB","IMSO","member"
"GB","Interpol","member"
"GB","IOC","National Olympic Committee"
"GB","IOM","member"
"GB","IPU","member"
"GB","ISO","member"
"GB","ITSO","member"
"GB","ITU","member"
"GB","ITUC","member"
"GB","MIGA","member"
"GB","MONUSCO","member"
"GB","NATO","member"
"GB","NEA","member"
"GB","NSG","member"
"GB","OAS","observer"
"GB","OECD","member"
"GB","OPCW","member"
"GB","OSCE","member"
"GB","PCA","member"
"GB","PIF","partner"
"GB","SELEC","observer"
"GB","UN","member"
"GB","UNCTAD","member"
"GB","UNESCO","member"
"GB","UNFICYP","member"
"GB","UNHCR","member"
"GB","UNIDO","member"
"GB","UNMISS","member"
"GB","UNRWA","member"
"GB","UNSC","permanent member"
"GB","UPU","member"
"GB","WCO","member"
"GB","WHO","member"
"GB","WIPO","member"
"GB","WMO","member"
"GB","WTO","member"
"GB","ZC","member"
"GBG","UPU","member"
"GBJ","UPU","member"
"GBM","UPU","member"
"GBZ","ICC","having direct member"
"GBZ","Interpol","subbureau"
"GBZ","UPU","member"
"GCA","BCIE","member"
"GCA","CACM","member"
"GCA","CD","signatory"
"GCA","CELAC","member"
"GCA","EITI","candidate countries"
"GCA","FAO","member"
"GCA","G-24","member"
"GCA","G-77","member"
"GCA","IADB","member"
"GCA","IAEA","member"
"GCA","IBRD","member"
"GCA","ICAO","member"
"GCA","ICC","national committee"
"GCA","ICCt","state accepting jurisdiction"
"GCA","IDA","member"
"GCA","IFAD","List C"
"GCA","IFC","member"
"GCA","IFRCS","member"
"GCA","IHO","member"
"GCA","ILO","member"
"GCA","IMF","member"
"GCA","IMO","member"
"GCA","Interpol","member"
"GCA","IOC","National Olympic Committee"
"GCA","IOM","member"
"GCA","IPU","member"
"GCA","ISO","correspondent member"
"GCA","ITSO","member"
"GCA","ITU","member"
"GCA","ITUC","member"
"GCA","LAES","member"
"GCA","LAIA","observer"
"GCA","MIGA","member"
"GCA","MONUSCO","member"
"GCA","NAM","member"
"GCA","OAS","member"
"GCA","OPANAL","member"
"GCA","OPCW","member"
"GCA","PCA","member"
"GCA","SICA","member"
"GCA","UN","member"
"GCA","UNCTAD","member"
"GCA","UNESCO","member"
"GCA","UNIDO","member"
"GCA","UNIFIL","member"
"GCA","UNISFA","member"
"GCA","UNITAR","member"
"GCA","UNMISS","member"
"GCA","UNOCI","member"
"GCA","UNWTO","member"
"GCA","UPU","member"
"GCA","WCO","member"
"GCA","WFTU","member"
"GCA","WHO","member"
"GCA","WIPO","member"
"GCA","WMO","member"
"GCA","WTO","member"
"GE","ADB","member"
"GE","BSEC","member"
"GE","CD","signatory"
"GE","CE","member"
"GE","EAPC","member"
"GE","EBRD","member"
"GE","FAO","member"
"GE","G-11","member"
"GE","GCTU","member"
"GE","GUAM","member"
"GE","IAEA","member"
"GE","IBRD","member"
"GE","ICAO","member"
"GE","ICC","national committee"
"GE","ICCt","state accepting jurisdiction"
"GE","ICJ","accepting compulsory jurisdiction without reservations"
"GE","IDA","member"
"GE","IFAD","List C"
"GE","IFC","member"
"GE","IFRCS","member"
"GE","ILO","member"
"GE","IMF","member"
"GE","IMO","member"
"GE","Interpol","member"
"GE","IOC","National Olympic Committee"
"GE","IOM","member"
"GE","IPU","member"
"GE","ISO","correspondent member"
"GE","ITSO","member"
"GE","ITU","member"
"GE","ITUC","member"
"GE","MIGA","member"
"GE","OAS","observer"
"GE","OIF","observer"
"GE","OPCW","member"
"GE","OSCE","member"
"GE","PFP","member"
"GE","SELEC","observer"
"GE","UN","member"
"GE","UNCTAD","member"
"GE","UNESCO","member"
"GE","UNIDO","member"
"GE","UNWTO","member"
"GE","UPU","member"
"GE","WCO","member"
"GE","WHO","member"
"GE","WIPO","member"
"GE","WMO","member"
"GE","WTO","member"
"GF","UPU","member"
"GF","WFTU","member"
"GH","ACP","member"
"GH","AfDB","regional member"
"GH","AU","member"
"GH","C","member"
"GH","ECOWAS","member"
"GH","EITI","compliant countries"
"GH","FAO","member"
"GH","G-24","member"
"GH","G-77","member"
"GH","IAEA","member"
"GH","IBRD","member"
"GH","ICAO","member"
"GH","ICC","national committee"
"GH","ICCt","state accepting jurisdiction"
"GH","IDA","member"
"GH","IFAD","List C"
"GH","IFC","member"
"GH","IFRCS","member"
"GH","ILO","member"
"GH","IMF","member"
"GH","IMO","member"
"GH","IMSO","member"
"GH","Interpol","member"
"GH","IOC","National Olympic Committee"
"GH","IOM","member"
"GH","IPU","member"
"GH","ISO","member"
"GH","ITSO","member"
"GH","ITU","member"
"GH","ITUC","member"
"GH","MIGA","member"
"GH","MINURSO","member"
"GH","MONUSCO","member"
"GH","NAM","member"
"GH","OAS","observer"
"GH","OIF","member"
"GH","OPCW","member"
"GH","UN","member"
"GH","UNAMID","member"
"GH","UNCTAD","member"
"GH","UNESCO","member"
"GH","UNHCR","member"
"GH","UNIDO","member"
"GH","UNIFIL","member"
"GH","UNISFA","member"
"GH","UNMIL","member"
"GH","UNMISS","member"
"GH","UNOCI","member"
"GH","UNWTO","member"
"GH","UPU","member"
"GH","WCO","member"
"GH","WFTU","member"
"GH","WHO","member"
"GH","WIPO","member"
"GH","WMO","member"
"GH","WTO","member"
"GL","NC","member"
"GL","UPU","member"
"GP","UPU","member"
"GP","WFTU","member"
"GQ","ACP","member"
"GQ","AfDB","regional member"
"GQ","AU","member"
"GQ","BDEAC","member"
"GQ","CEMAC","member"
"GQ","CPLP","associate observer"
"GQ","FAO","member"
"GQ","FZ","member"
"GQ","G-77","member"
"GQ","IBRD","member"
"GQ","ICAO","member"
"GQ","IDA","member"
"GQ","IFAD","List C"
"GQ","IFC","member"
"GQ","IFRCS","member"
"GQ","ILO","member"
"GQ","IMF","member"
"GQ","IMO","member"
"GQ","Interpol","member"
"GQ","IOC","National Olympic Committee"
"GQ","IPU","member"
"GQ","ITSO","member"
"GQ","ITU","member"
"GQ","MIGA","member"
"GQ","NAM","member"
"GQ","OAS","observer"
"GQ","OIF","member"
"GQ","OPCW","member"
"GQ","UN","member"
"GQ","UNCTAD","member"
"GQ","UNESCO","member"
"GQ","UNIDO","member"
"GQ","UNWTO","member"
"GQ","UPU","member"
"GQ","WHO","member"
"GQ","WIPO","member"
"GQ","WTO","observer"
"GR","AG","member"
"GR","BIS","member"
"GR","BSEC","member"
"GR","CD","signatory"
"GR","CE","member"
"GR","CERN","member"
"GR","EAPC","member"
"GR","EBRD","member"
"GR","ECB","member"
"GR","EIB","member"
"GR","EMU","member"
"GR","ESA","member"
"GR","EU","member"
"GR","FAO","member"
"GR","FATF","member"
"GR","IAEA","member"
"GR","IBRD","member"
"GR","ICAO","member"
"GR","ICC","national committee"
"GR","ICCt","state accepting jurisdiction"
"GR","ICJ","accepting compulsory jurisdiction with reservations"
"GR","IDA","member"
"GR","IEA","member"
"GR","IFAD","List A"
"GR","IFC","member"
"GR","IFRCS","member"
"GR","IGAD","partner"
"GR","IHO","member"
"GR","ILO","member"
"GR","IMF","member"
"GR","IMO","member"
"GR","IMSO","member"
"GR","Interpol","member"
"GR","IOC","National Olympic Committee"
"GR","IOM","member"
"GR","IPU","member"
"GR","ISO","member"
"GR","ITSO","member"
"GR","ITU","member"
"GR","ITUC","member"
"GR","MIGA","member"
"GR","NATO","member"
"GR","NEA","member"
"GR","NSG","member"
"GR","OAS","observer"
"GR","OECD","member"
"GR","OIF","member"
"GR","OPCW","member"
"GR","OSCE","member"
"GR","PCA","member"
"GR","SELEC","member"
"GR","UN","member"
"GR","UNCTAD","member"
"GR","UNESCO","member"
"GR","UNHCR","member"
"GR","UNIDO","member"
"GR","UNIFIL","member"
"GR","UNWTO","member"
"GR","UPU","member"
"GR","WCO","member"
"GR","WFTU","member"
"GR","WHO","member"
"GR","WIPO","member"
"GR","WMO","member"
"GR","WTO","member"
"GR","ZC","member"
"GU","AOSIS","observer"
"GU","IOC","National Olympic Committee"
"GU","PIF","observer"
"GU","SPC","member"
"GU","UPU","member"
"GUB","ACP","member"
"GUB","AfDB","regional member"
"GUB","AOSIS","member"
"GUB","AU","member"
"GUB","CPLP","member"
"GUB","ECOWAS","member"
"GUB","FAO","member"
"GUB","FZ","member"
"GUB","G-77","member"
"GUB","IBRD","member"
"GUB","ICAO","member"
"GUB","ICJ","accepting compulsory jurisdiction without reservations"
"GUB","IDA","member"
"GUB","IDB","member"
"GUB","IFAD","List C"
"GUB","IFC","member"
"GUB","IFRCS","member"
"GUB","ILO","member"
"GUB","IMF","member"
"GUB","IMO","member"
"GUB","Interpol","member"
"GUB","IOC","National Olympic Committee"
"GUB","IOM","member"
"GUB","IPU","member"
"GUB","ITSO","member"
"GUB","ITU","member"
"GUB","ITUC","member"
"GUB","MIGA","member"
"GUB","NAM","member"
"GUB","OIC","member"
"GUB","OIF","member"
"GUB","OPCW","member"
"GUB","UN","member"
"GUB","UNCTAD","member"
"GUB","UNESCO","member"
"GUB","UNIDO","member"
"GUB","UNWTO","member"
"GUB","UPU","member"
"GUB","WCO","member"
"GUB","WFTU","member"
"GUB","WHO","member"
"GUB","WIPO","member"
"GUB","WMO","member"
"GUB","WTO","member"
"GUY","ACP","member"
"GUY","AOSIS","member"
"GUY","C","member"
"GUY","Caricom","member"
"GUY","CD","signatory"
"GUY","CDB","regional member"
"GUY","CELAC","member"
"GUY","FAO","member"
"GUY","G-77","member"
"GUY","IADB","member"
"GUY","IBRD","member"
"GUY","ICAO","member"
"GUY","ICCt","state accepting jurisdiction"
"GUY","IDA","member"
"GUY","IFAD","List C"
"GUY","IFC","member"
"GUY","IFRCS","member"
"GUY","ILO","member"
"GUY","IMF","member"
"GUY","IMO","member"
"GUY","Interpol","member"
"GUY","IOC","National Olympic Committee"
"GUY","IOM","member"
"GUY","ISO","correspondent member"
"GUY","ITU","member"
"GUY","LAES","member"
"GUY","Mercosur","associate member"
"GUY","MIGA","member"
"GUY","NAM","member"
"GUY","OAS","member"
"GUY","OIC","member"
"GUY","OPANAL","member"
"GUY","OPCW","member"
"GUY","PCA","member"
"GUY","UN","member"
"GUY","UNASUR","member"
"GUY","UNCTAD","member"
"GUY","UNESCO","member"
"GUY","UNIDO","member"
"GUY","UPU","member"
"GUY","WCO","member"
"GUY","WFTU","member"
"GUY","WHO","member"
"GUY","WIPO","member"
"GUY","WMO","member"
"GUY","WTO","member"
"H","AG","member"
"H","BIS","member"
"H","CD","signatory"
"H","CE","member"
"H","CEI","member"
"H","CERN","member"
"H","EAPC","member"
"H","EBRD","member"
"H","EIB","member"
"H","ESA","cooperating state"
"H","EU","member"
"H","FAO","member"
"H","G-9","member"
"H","IAEA","member"
"H","IBRD","member"
"H","ICAO","member"
"H","ICC","national committee"
"H","ICCt","state accepting jurisdiction"
"H","ICJ","accepting compulsory jurisdiction with reservations"
"H","IDA","member"
"H","IEA","member"
"H","IFAD","List A"
"H","IFC","member"
"H","IFRCS","member"
"H","ILO","member"
"H","IMF","member"
"H","IMO","member"
"H","IMSO","member"
"H","Interpol","member"
"H","IOC","National Olympic Committee"
"H","IOM","member"
"H","IPU","member"
"H","ISO","member"
"H","ITSO","member"
"H","ITU","member"
"H","ITUC","member"
"H","MIGA","member"
"H","MINURSO","member"
"H","NATO","member"
"H","NEA","member"
"H","NSG","member"
"H","OAS","observer"
"H","OECD","member"
"H","OIF","observer"
"H","OPCW","member"
"H","OSCE","member"
"H","PCA","member"
"H","SELEC","member"
"H","UN","member"
"H","UNCTAD","member"
"H","UNESCO","member"
"H","UNFICYP","member"
"H","UNHCR","member"
"H","UNIDO","member"
"H","UNIFIL","member"
"H","UNWTO","member"
"H","UPU","member"
"H","V4","member"
"H","WCO","member"
"H","WFTU","member"
"H","WHO","member"
"H","WIPO","member"
"H","WMO","member"
"H","WTO","member"
"H","ZC","member"
"HELX","UPU","member"
"HK","ADB","member"
"HK","APEC","member"
